LAMMPS data file from restart file: timestep = 20000, procs = 3

769 atoms
513 bonds
258 angles

4 atom types
2 bond types
2 angle types

-9.8650000000000002e+00 9.8650000000000002e+00 xlo xhi
-9.8650000000000002e+00 9.8650000000000002e+00 ylo yhi
-9.8650000000000002e+00 9.8650000000000002e+00 zlo zhi

Masses

1 16
2 1
3 16
4 1

Pair Coeffs

1 0.155425 3.16549
2 0 0
3 0 0
4 0 0

Angle Coeffs

1 37.95 113.24
2 38.7434 111.727

Atoms

101 34 2 4.0999999999999998e-01 -8.3194483987635586e+00 -7.8407724090037574e+00 -9.5269114383386206e+00 0 0 1
100 34 1 -8.1999999999999995e-01 -9.0233074319414346e+00 -7.7200966092844254e+00 -8.7896300689926328e+00 0 0 1
736 246 1 -8.1999999999999995e-01 -6.5311754584487742e+00 -6.2747706767660487e+00 -7.0564726662011417e+00 1 0 1
398 133 2 4.0999999999999998e-01 -6.1490889464852687e+00 -8.5033612559827123e+00 -3.7563355225894193e+00 0 1 0
738 246 2 4.0999999999999998e-01 -6.4814740922938485e+00 -6.4348205518085129e+00 -8.0612180206134898e+00 1 0 1
737 246 2 4.0999999999999998e-01 -7.4095997742506663e+00 -6.7569126641204260e+00 -6.8203373769776574e+00 1 0 1
288 96 2 4.0999999999999998e-01 -8.6696552500472830e+00 -8.8747740582474783e+00 -5.7210145065037210e+00 0 0 0
286 96 1 -8.1999999999999995e-01 -8.8506664224083593e+00 -7.8761271958660535e+00 -5.9898520395616712e+00 0 0 0
287 96 2 4.0999999999999998e-01 -9.2074616212164777e+00 -7.9813229976334039e+00 -6.9393278630949506e+00 0 0 0
665 222 2 4.0999999999999998e-01 -9.3532362731771741e+00 -8.0060937397101153e+00 -4.3858985054519204e+00 0 0 0
464 155 2 4.0999999999999998e-01 -4.9622706033051092e+00 -9.3124690366651617e+00 -9.2169262395337714e+00 0 0 0
612 204 2 4.0999999999999998e-01 -5.4176425903433252e+00 -4.9941700193780232e+00 -4.0390502286061043e+00 1 0 0
463 155 1 -8.1999999999999995e-01 -5.8291237683920265e+00 -9.3542076850662905e+00 -9.7748774049186409e+00 0 0 0
685 229 1 -8.1999999999999995e-01 -6.3585058566759898e+00 -6.7946260257066653e+00 -9.7404434646345255e+00 0 0 0
664 222 1 -8.1999999999999995e-01 -9.4594308088840009e+00 -7.9512548096193054e+00 -3.3599891956985672e+00 0 0 0
650 217 2 4.0999999999999998e-01 -7.5934543426598076e+00 -5.5236512856053226e+00 -9.3154757385908180e+00 0 0 0
102 34 2 4.0999999999999998e-01 -9.1568753347070952e+00 -6.7056878215347755e+00 -8.7716423044205385e+00 0 0 1
687 229 2 4.0999999999999998e-01 -6.3806322873078951e+00 -7.8544702512944564e+00 -9.8011585231444034e+00 0 0 0
617 206 2 4.0999999999999998e-01 -2.1237640194086822e+00 -6.5551093304091488e+00 -3.8939246697548597e+00 0 1 0
755 252 2 4.0999999999999998e-01 -3.1307642159575684e+00 -8.6223769836870865e+00 -8.6337305222975989e+00 1 1 0
754 252 1 -8.1999999999999995e-01 -3.8636649454456156e+00 -9.0692339570048581e+00 -8.0859083202534183e+00 1 1 0
530 177 2 4.0999999999999998e-01 -5.7662058384453219e-01 -6.0944544960029567e+00 -8.0795470376725458e+00 0 -1 0
529 177 1 -8.1999999999999995e-01 -1.0045939219637885e+00 -6.3531008111435963e+00 -7.2101918111297110e+00 0 -1 0
756 252 2 4.0999999999999998e-01 -3.8893021725450021e+00 -8.4883466704443258e+00 -7.2318868504905689e+00 1 1 0
531 177 2 4.0999999999999998e-01 -1.9267799597697859e+00 -6.0491303306884570e+00 -7.1833039202656250e+00 0 -1 0
104 35 2 4.0999999999999998e-01 -4.0694743358552730e+00 -8.1454386493669322e+00 -5.3286917638716274e+00 0 0 0
693 231 2 4.0999999999999998e-01 -1.1581829557272613e-01 -7.9304903921784549e+00 -7.0236797403331099e+00 0 0 0
103 35 1 -8.1999999999999995e-01 -3.9300215726406513e+00 -7.4510465322291726e+00 -6.0382848833433149e+00 0 0 0
105 35 2 4.0999999999999998e-01 -4.7989762989139120e+00 -6.9741857063925528e+00 -6.1300302506735882e+00 0 0 0
46 16 1 -8.1999999999999995e-01 -3.2949230566375687e+00 -5.0896860681132168e+00 -8.8143826983512987e+00 0 0 0
616 206 1 -8.1999999999999995e-01 -2.0810106840934162e+00 -5.5458128540771083e+00 -3.7597147440924319e+00 0 1 0
48 16 2 4.0999999999999998e-01 -3.5220661594702434e+00 -4.9681448184065733e+00 -9.7992819256390344e+00 0 0 0
673 225 1 -8.1999999999999995e-01 -1.5784115973116697e-01 -9.3881610681574585e+00 -9.8557703168258133e+00 0 1 0
628 210 1 -8.1999999999999995e-01 -4.8841471411958066e+00 -9.6536704290539070e+00 -4.4473327198124979e+00 0 1 0
576 192 2 4.0999999999999998e-01 -2.4005664717463677e+00 -6.7060019274021219e+00 -9.6254228600947247e+00 0 0 0
574 192 1 -8.1999999999999995e-01 -2.3987837527360116e+00 -7.7708296263775978e+00 -9.7772041234695291e+00 0 0 0
505 169 1 -8.1999999999999995e-01 1.4725531233503103e-01 -5.4106431395262353e+00 -9.5589390655258075e+00 0 0 0
